ID,DOI
Selikhov2005,10.1016/j.future.2004.05.011
10.1016/j.future.2019.05.062,10.1016/j.future.2019.05.062
10.1109/GCE.2014.8,10.1109/GCE.2014.8
Quang2015,10.1109/CCGrid.2015.123
Abramson2002,10.1016/S0167-739X(02)00085-7
Venkataraman2015,10.1016/j.procs.2015.04.099
Padmanabhan2011,10.1145/2016741.2016786
10.1145/3594539,10.1145/3594539
Wu2012,10.1007/s10723-012-9222-7
Korkhov2008,10.1016/j.jpdc.2007.08.010
Anand2011,10.1007/s10723-010-9172-x
Altunay2011,10.1007/s10723-010-9176-6
Saad2016,10.1007/s11227-015-1564-z
Butt2006,10.1016/j.jpdc.2005.06.022
10.1145/1566445.1566492,10.1145/1566445.1566492
Liu2015,10.1007/s10723-015-9329-8
Wang2020,10.1145/3407947.3407977
Grehant2013,10.1145/2480741.2480754
10.1016/j.future.2017.11.007,10.1016/j.future.2017.11.007
Curran2009,10.1016/j.future.2008.09.010
Cai2023,10.1007/s41781-023-00101-0
Chard2016,10.1109/CCGrid.2016.57
DomizziSanchez-Gallegos2021,10.1016/j.future.2021.03.017
Juve2012,10.1007/s10723-012-9207-6
Zarza2012,10.1016/j.procs.2012.04.191
Filgueira2017,10.1109/DataCloud.2016.004
Sfiligoi2022,10.1145/3491418.3535123
Lenards2011,10.1145/2110486.2110494
Belgin2022,10.1145/3491418.3535135
10.1016/j.jbi.2014.01.005,10.1016/j.jbi.2014.01.005
10.14778/1453856.1453865,10.14778/1453856.1453865
10.5555/3018088.3018092,10.1109/EduHPC.2016.008
Frey2001,10.1109/HPDC.2001.945176
Zhou2021,10.1186/s13677-021-00231-z
Belkin2018,10.1145/3219104.3219145
10.1016/j.jss.2017.01.007,10.1016/j.jss.2017.01.007
Zhou2023a,10.1109/TSE.2022.3229221
10.1007/s11227-022-04848-y,10.1007/s11227-022-04848-y
10.1145/3311790.3396625,10.1145/3311790.3396625
Urbah2009,10.1007/s10723-009-9137-0
Ejarque2022,10.1016/j.future.2022.04.014
10.1016/j.future.2022.01.024,10.1016/j.future.2022.01.024
Gibson2024,10.1177/00375497241233284
10.1145/3603166.3632142,10.1145/3603166.3632142
Papadimitriou2021,10.1016/j.future.2020.11.024
Krasovec2019,10.1007/s10723-018-09472-w
Pavlovikj2014,10.1145/2616498.2616551
Mandal2013,10.1145/2534695.2534698
McGough2018,10.1145/3185768.3186313
Madduri2013,10.1145/2484762.2484827
Vockler2011,10.1145/1996109.1996114
Maimour2004,10.1007/s10723-004-2075-y
Shakil2018,10.1145/3232174.3232177
10.1016/j.jpdc.2019.08.002,10.1016/j.jpdc.2019.08.002
Kupsch2010,10.1145/1866835.1866852
Viil2018,10.1007/s11227-018-2296-7
Zhang2014,10.14778/2733004.2733012
10.1145/1851476.1851588,10.1145/1851476.1851588
10.1145/3086567.3086570,10.1145/3086567.3086570
Rood2009,10.1007/s10723-009-9135-2
Mustafee2010,10.1109/WSC.2010.5679122
10.1145/2608029.2608035,10.1145/2608029.2608035
Thapa2018,10.1145/3219104.3219157
10.1145/2465848.2465850,10.1145/2465848.2465850
Mateescu2011,10.1016/j.future.2010.11.003
10.1016/j.jss.2016.05.027,10.1016/j.jss.2016.05.027
10.1145/1383422.1383439,10.1145/1383422.1383439
LePiane2024,10.3762/BJNANO.15.119
Pruyne1996,10.1016/0167-739X(95)00036-R
Kepner2000,10.1023/A:1019011716367
10.1145/1362622.1362640,10.1145/1362622.1362640
Maheshwari2012,10.1145/2286996.2287000
Milligan2018,10.1145/3219104.3219162
Fernandez-Quiruelas2015,10.1016/j.future.2015.04.009
Zhao2013,10.1016/j.envsoft.2012.08.007
Zhang2015a,10.1109/CCGrid.2015.116
Raicu2010,10.1007/s10586-010-0132-9
10.1145/1646468.1646478,10.1145/1646468.1646478
Lopez2017,10.1016/j.jpdc.2017.01.009
Freyermuth2021a,10.1007/s41781-020-00050-y
Zhou2023,10.1177/10943420231167800
Babuji2019,10.1145/3307681.3325400
Chard2015,10.1109/GCE.2014.7
Liu2022,10.1007/s10586-021-03460-8
Decker2022,10.3390/a15070234
Walker2004,10.1007/s10586-007-0028-5
10.1145/2287076.2287105,10.1145/2287076.2287105
Herzfeld2010,10.1145/1851476.1851575
10.1145/1731740.1731843,10.1145/1731740.1731843
Bockelman2021,10.1016/j.jocs.2020.101213
10.1145/1551609.1551634,10.1145/1551609.1551634
10.1145/1646468.1646469,10.1145/1646468.1646469
Mukherjee2012,10.1145/2335755.2335787
Callaghan2017,10.1145/3150994.3151003
Zhang2007,10.1016/j.jpdc.2007.03.006
10.1145/3363554,10.1145/3363554
Alrajeh2018,10.1109/DISTRA.2018.8601013
10.5555/1516744.1516935,10.1109/WSC.2008.4736176
Sly-Delgado2023,10.1145/3624062.3624277
10.1145/1383422.1383435,10.1145/1383422.1383435
Hey2002,10.1016/S0167-739X(02)00082-1
Liu2021,10.1145/3437359.3465569
10.5555/1413370.1413393,10.1109/SC.2008.5219768
Maassen2011,10.1145/1996010.1996013
Zhang2010,10.1145/1869692.1869694
10.5555/3571885.3571916,10.1109/SC41404.2022.00029
Bittencourt2010,10.1007/s10723-009-9144-1
Meng2015,10.1145/2755979.2755982
Freyermuth2021,10.1007/s41781-021-00063-1
10.1145/3053600.3053612,10.1145/3053600.3053612
Shieh2014,10.1145/2616498.2616517
Alam2023,10.1177/10943420231167811
Benton2011,10.1145/2063348.2063362
Deelman2009,10.1016/j.future.2008.06.012
